1	Which of the following is NOT a type of computer memory?	RAM	ROM	CPU	Cache	3	2
2	Given the decimal number 15, how can we represent this number in binary form?	1111	1100	1010	1001	1	2
3	1) git add 2) git commit 3) git _______?	pull	push	pullout	clone	2	2
4	Which of the following is NOT a high-level programming language?	Python	Assembly	Java	C++	2	2
5	How do you delete everything in a directory in Linux?	rm -rf ./	rm -d ./	rm --all	rm --all ./	1	2
6	What is the process of converting plaintext into ciphertext called?	Decryption	Encryption	Hashing	Encoding	2	2
7	Which technology is used for wireless communication over *very* short distances?	Bluetooth	Wifi	Cellular	Satellite	1	2
8	What will be the output of the following Python code: `print(15 // 4)`	3	3.75	4	3.5	1	2
9	Which of these is not a searching algorithm?	DFS	A-Star	Dijkstra	Kadane's Algorithm	4	2
10	What is the core component of an Artificial Neural Network?	Synapse	Dendrite	Axon	Neuron	4	2
11	Which data structure is best suited for implementing a priority queue?	Array	Linked List	Stack	Heap	4	2
12	What is the purpose of a hash function in a hash table?	To sort the data	To map keys to indices	To encrypt the data	To compress the data	2	2
13	In a binary search tree, which traversal method produces a sorted output?	Inorder	Preorder	Postorder	Any one of the above	1	2
14	Which of these is a cloud computing service model?	Infrastructure as a Service (IaaS)	Platform as a Service (PaaS)	Software as a Service (SaaS)	All of the above	4	2
15	Which of the following is a divide-and-conquer algorithm?	Bubble Sort	Selection Sort	Merge Sort	Insertion Sort	3	2
16	What does the following list comprehension in Python yield: `[i for i in range(10)]`	[-10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	3	2
17	Which of the following is not a feature of Object-Oriented Programming (OOP)?	Encapsulation	Inheritance	Polymorphism	Recursion	4	2
18	In SQL, which of the following commands is used to remove a table from a database?	DELETE	DROP	REMOVE	ERASE	2	2
19	The minimum number of stacks needed to implement a queue is	3	1	2	4	3	2
20	In the context of version control, what does "Git" primarily manage?	Database transactions	File versions	Networking protocols	Web sessions	2	2
1	What language did WhatsApp use in their launching phase to scale to millions of users with a small team of engineers?	C++	Python	Java	Elixir	4	1
2	What is the output of this list comprehension?\n`[char for char in "Python" if char.isupper()]`	["P", "y", "t", "h", "o", "n"]	["P", "y", "t", "h"]	["P", "n"]	["P"]	4	1
3	Which of the following is a key characteristic of a relational database?	 Hierarchical data structure	Data is organized in tables (relations)	Network data model	 Data is stored as objects	2	1
4	Which of the following statements is true about Java?	Java supports multiple inheritance using classes.	Java uses pointers for memory management.	Java is platform-independent due to the JVM.	Java allows operator overloading.	3	1
5	In Java, which of the following is used to handle exceptions?	if-else	switch-case	try-catch	do while loop	3	1
6	Which of the following is an advantage of a linked list over an array?	Random access of elements	Fixed size	Better cache locality	Dynamic size	4	1
7	What is the purpose of exception handling in programming?	To predefine input values for functions.	To optimize code performance.	To log function calls and results.	To manage and respond to runtime errors.	4	1
8	 In Python, which of the following is not a valid data type?	List	Tuple	LinkedList	Integer	3	1
9	VST stands for:	Virtualisation Software Technology	Visual SaaS Template	Virtual Studio Technology	Vacant Swapping Technique	3	1
10	 What is a "data structure" in programming?	A collection of functions for data transformation.	Organizing and storing data for efficient access and modification.	An algorithm for processing data.	Syntax for declaring variables and constants.	2	1
11	Which of the following is a valid declaration of a pointer in C?	int ptr;	int *ptr;	int &ptr;	pointer int ptr;	2	1
12	In Java, which method is used to start a thread?	run()	start()	init()	execute()	2	1
13	How is best-case time complexity represented?	Ω(1) (constant time)	Θ(n) (linear time)	O(n) (linear time)	Ω(n2) (quadratic time)	1	1
14	What is "recursion" in programming?	Optimizing function execution through loops.	Predefining input values for functions.	A function calling itself to solve smaller sub-problems.	Repeated execution of code until a condition is met.	3	1
15	What does ACID stand for in the context of databases?	Atomicity, Consistency, Isolation, Durability	 Atomicity, Concurrency, Integrity, Durability	Aggregation, Consistency, Isolation, Durability	Abstraction, Consistency, Isolation, Data	1	1
16	How do you execute a python file?	`run <filename>.py` in the terminal.	`execute <filename>.py` in the shell.	`python <filename>.py` in the command line.	`python3 run <filename>.py` in the console.	3	1
17	What is the time complexity of binary search in a sorted array?	O(n)	O(log n)	O(n log n)	O(n²)	2	1
18	What does BFS stand for?	Binary-First Search	Breadth-First Search	Binary-Finding System	Breadth-Finding Strategy	2	1
19	What does SQL stand for?	Standard Query Language	System Query Language	Structured Query Language	System Query Language	3	1
20	In a relational database, which constraint ensures that a column cannot have NULL values?	FOREIGN KEY	UNIQUE	NOT NULL	PRIMARY KEY	3	1
1	How many pointers at max are necessarily changed for the insertion in a linked list?	1	3	0	2	4	3
2	The type of pointer used to point to the address of the next element in a linked list?	Pointer to Char	Pointer to Int	Pointer to Node	Pointer to String	3	3
3	Which of the following is not the application of stack?	Data Transfer between two asynchronous process	Compiler Syntax Analyzer	Tracking of local variables at run time	A parentheses balancing program	1	3
4	What is the value of the postfix expression 8 11 7 4 + – *?	0	-33	33	-9	1	3
5	What is the purpose of the SQL query shown in the snippet?\n`SELECT * FROM employees WHERE department = 'Sales';`	Insert new employee records	Update existing employee records	Retrieve employee records from the 'Sales' department	Delete employee records from the 'Sales' department	3	3
6	What is a null pointer reference? (Hint: CrowdStrike suffered a lot because of this)	Pointer to a memory address that has been deallocated	A default variable called "null" to initialise a constructor in C++.	A pointer that has been declared but not initialised	A pointer that could be used to reference more than one locations at the same time.	1	3
7	Which of these is a postfix expression?	a+c-d	ab+ cd- *	ab(cd+)- *	*ab-+cde	2	3
8	Which of These is **NOT** an AWS service?	S3	ABS	RDS	EC2	2	3
9	Which of These is **NOT** a Page Replacement Algorithm	FIFO	LRU	LIFO	Optimal Page Replacement	3	3
10	Which of the following is a non-preemptive scheduling algorithm?	Round Robin	Shortest Job First (SJF)	Priority Scheduling	First-Come, First-Served (FCFS)	4	3
11	What is the output of the following Java code?\n`public class Main{\n     public static void main(String []args){\n        int x = 10;\n        int y = 5;\n        int z = (x > y) ? x : y;\n        System.out.println(z);\n     }\n}`	10	5	15	syntax error	1	3
12	Which of the following algorithms is used for finding the shortest path in a graph?	Depth-First Search (DFS)	Breadth-First Search (BFS)	Dijkstra’s Algorithm	Floyd-Warshall Algorithm	3	3
13	Which of the following sorting algorithms is not stable?	Merge Sort	Bubble Sort	Quick Sort	Insertion Sort	3	3
14	Which SQL keyword is used to remove duplicate records in a query result?	UNIQUE	DELETE	SELECT	DISTINCT	4	3
15	Which of the following algorithms is NOT used for encryption?	AES	RSA	SHA-256	Blowfish	3	3
16	What is the worst-case time complexity of quicksort?	O(n)	O(log n)	O(n log n)	O(n²)	4	3
17	What is Bob doing here in the 8th episode of the 2nd season of Stranger Things ![](https://martin-m.org/images/Stranger-Things-S1E8-Code-Closeup.png)	Developing a web application for storing passwords	Running away from Demogorgons and brute-forcing a 3-digit password	Running away from Demogorgons and brute-forcing a 4-digit password	Training a model for classifying Demogorgons	3	3
18	In object-oriented programming, what is the concept of polymorphism?	Polymorphism is the process by which a class (the child or subclass) acquires attributes and behaviors from another class (the parent or superclass), allowing for code reuse and the creation of hierarchical relationships between classes.	Polymorphism is the process by which a single class can inherit properties and behaviors from multiple parent classes, combining the functionality of all the parent classes into one.	Polymorphism is the technique of encapsulating data and methods within a class to protect the internal state of the object and prevent unauthorized access from outside code.	Polymorphism describes the ability of a function to change its behavior based on the number and type of parameters passed to it, enabling flexible function definitions.	4	3
19	What does the term "latency" refer to in networking?	The amount of data that can be transferred in a given time	The time taken for a data packet to travel from source to destination	The number of errors per unit of time	The frequency of data collisions	2	3
20	Which of the following algorithms is typically used in the TCP protocol to prevent network congestion?	RSA	Dijkstra's Algorithm	Sliding Window Protocol	Slow Start	4	3
1	What is the output of the following C++ code?\n`#include <iostream>\nusing namespace std;\n\nint main() {\n    int a = 10;\n    int b = a++ + ++a;\n    cout << b;\n    return 0;\n}`	21	20	22	19	3	4
2	You are tasked with optimizing the performance of a web application. Which technique involves storing frequently accessed data in a store, reducing the need to fetch it from the original source and potentially improving response times?	Load Balancing	Compression	Minification	Caching	4	4
3	In operating systems, what is the name of the memory management technique that divides memory into fixed-size blocks called pages?	Segmentation	Swapping	Paging	Thrashing	3	4
4	Consider a scenario where you need to design a fault-tolerant system that can continue operating even if some of its components fail. Which architectural pattern involves replicating critical components and distributing them across multiple nodes to ensure high availability and resilience?	Microservices Architecture	Monolithic Architecture	Distributed Architecture	Layered Architecture	3	4
5	Which of the following is a type of cyber attack that involves tricking users into revealing sensitive information?	Malware	Ransomware	Phishing	Denial of Service (DoS)	3	4
6	What is the output of the following Python code snippet?\n`x = [1, 2, 3, 4]\ny = x.copy()\ny.append(5)\nprint(x, y)\n`	`[1, 2, 3, 4] [1, 2, 3, 4, 5]`: The `copy()` method creates a shallow copy, so modifying `y` does not affect `x`	`[1, 2, 3, 4] [1, 2, 3, 4]`: Both lists are references to the same object, so changes to`y` are reflected in `x`.	`[1, 2, 3, 4, 5] [1, 2, 3, 4, 5]`: Both `x` and `y` are updated simultaneously because `copy()` is not used.	Error: The `copy()` method is not valid for lists.	1	4
7	Which of these is **NOT** a method to exit the Vim text editor?	:q!	ZZ	ZQ	:w	4	4
8	What is the purpose of load balancing in system design?	To encrypt data	To compress data for faster transmission	To cache frequently accessed data	To distribute traffic across multiple servers	4	4
9	What programming concept is demonstrated in the provided code snippet?\n`def calculate_factorial(n):\n    if n == 0:\n        return 1\n    else:\n        return n * calculate_factorial(n - 1)`	Iterative	 Recursion	Polymorphism	Encapsulation	2	4
10	Which of these HTTP methods should not be used while sending a request body?	PUT	GET	POST	PATCH	2	4
11	Which of these is not a defining feature of Redis?	Multithreading	In-memory caching	Pub/sub	Support for linear data structures	1	4
12	What is the output of the following code snippet: \n`int x = 5; \nint y = x++ + ++x; \nstd::cout << y;` ? 	10	12	11	13	2	4
13	What would be the optimal time complexity for generating Fibonacci series?	O(logn)	O(n)	O(2^n)	O(n^2)	1	4
